City,Host,Lat,Lng
Barcelona,1,41.3828939,2.1774322
London,1,51.5073219,-0.1276474
Antwerpen,1,51.2211097,4.3997081
Paris,1,48.8566101,2.3514992
Los Angeles,1,34.0536834,-118.2427669
Helsinki,1,60.1674086,24.9425683
Sydney,1,-33.8548157,151.2164539
Atlanta,1,33.7490987,-84.3901849
Stockholm,1,59.3251172,18.0710935
Beijing,1,39.906217,116.3912757
Rio de Janeiro,1,-22.9110137,-43.2093727
Athens,1,33.9597677,-83.376398
Mexico City,1,19.4326009,-99.1333416
Munich,1,48.1371079,11.5753822
Seoul,1,37.5666791,126.9782914
Berlin,1,52.5170365,13.3888599
Melbourne,1,-37.8142176,144.9631608
Rome,1,41.894802,12.4853384
Amsterdam,1,52.3745403,4.89797550561798
Montreal,1,45.4972159,-73.6103642
Moscow,1,55.7507178,37.6176606
Tokyo,1,35.6828387,139.7594549
St. Louis,1,38.6272733,-90.1978889
Abu Dhabi,0,23.99764435,53.6439097569213
Austin,0,30.2711286,-97.7436995
Boston,0,42.3602534,-71.0582912
Brussels,0,50.8465573,4.351697
Calgary,0,51.02532675,-114.049868485806
Chicago,0,41.8755616,-87.6244212
Dallas,0,32.7762719,-96.7968559
Denver,0,39.7391428,-104.984696
Doha,0,25.2856329,51.5264162
Dubai,0,25.0750095,55.1887608818332
Dublin,0,53.3497645,-6.2602732
Frankfurt,0,50.1106444,8.6820917
Hong Kong,0,22.2793278,114.1628131
Houston,0,29.7589382,-95.3676974
Istanbul,0,41.0096334,28.9651646
Las Vegas,0,36.1662859,-115.149225
Madrid,0,40.4167047,-3.7035825
Miami,0,25.7742658,-80.1936589
Milan,0,45.4667971,9.1904984
New York,0,40.7308619,-73.9871558
Orlando,0,28.5421097,-81.3790388
Oslo,0,59.9133301,10.7389701
Philadelphia,0,39.9524152,-75.1635755
Prague,0,50.0874654,14.4212535
San Diego,0,32.7174209,-117.1627714
San Francisco,0,37.7647993,-122.4629897
San Jose,0,37.3361905,-121.8905833
Seattle,0,47.6038321,-122.3300624
Singapore,0,1.2904753,103.8520359
Toronto,0,43.653963,-79.387207
Vancouver,0,49.2608724,-123.1139529
Vienna,0,48.2083537,16.3725042
Washington,0,38.8950092,-77.0365625
Zurich,0,47.3769434,8.5414061
